exp interface log记录
[2025-05-15 12:20:27] [Info]: [ranyi] Total: 2279, gametime: 1107, rankpoint: 2279, shotgunkills: 105542, smgkills:178281, tankrocks: 1537, versuswin: 516, versustotal：781, gamesplayed: 1189, maxrankpoint: 2296, kill_per_round: 238, rock_per_round: 1, hour_per_round: 0
[2025-05-15 17:54:15] [Info]: [爱吃咸鱼的7786] Total: 2378, gametime: 1316, rankpoint: 2378, shotgunkills: 101606, smgkills:147634, tankrocks: 1129, versuswin: 887, versustotal：1638, gamesplayed: 2017, maxrankpoint: 3333, kill_per_round: 123, rock_per_round: 0, hour_per_round: 0
[2025-05-15 18:01:09] [Info]: [cctv0067] Total: 9088, gametime: 3550, rankpoint: 9088, shotgunkills: 459620, smgkills:454946, tankrocks: 6290, versuswin: 1610, versustotal：3195, gamesplayed: 4536, maxrankpoint: 8086, kill_per_round: 201, rock_per_round: 1, hour_per_round: 0
[2025-05-15 18:01:20] [Info]: [我是菜狗] Total: 423, gametime: 172, rankpoint: 423, shotgunkills: 22218, smgkills:20744, tankrocks: 157, versuswin: 173, versustotal：341, gamesplayed: 416, maxrankpoint: 588, kill_per_round: 103, rock_per_round: 0, hour_per_round: 0
[2025-05-15 21:46:28] [Info]: [ranyi] Total: 2283, gametime: 1108, rankpoint: 2283, shotgunkills: 105542, smgkills:178282, tankrocks: 1541, versuswin: 516, versustotal：782, gamesplayed: 1192, maxrankpoint: 2300, kill_per_round: 238, rock_per_round: 1, hour_per_round: 0
[2025-05-15 21:56:24] [Info]: [ranyi] Total: 2284, gametime: 1108, rankpoint: 2284, shotgunkills: 105542, smgkills:178282, tankrocks: 1541, versuswin: 516, versustotal：783, gamesplayed: 1193, maxrankpoint: 2301, kill_per_round: 237, rock_per_round: 1, hour_per_round: 0
[2025-05-15 22:07:35] [Info]: [ranyi] Total: 2284, gametime: 1108, rankpoint: 2284, shotgunkills: 105542, smgkills:178282, tankrocks: 1541, versuswin: 516, versustotal：783, gamesplayed: 1193, maxrankpoint: 2301, kill_per_round: 237, rock_per_round: 1, hour_per_round: 0
[2025-05-15 23:22:36] [Info]: [ranyi] Total: 2284, gametime: 1108, rankpoint: 2284, shotgunkills: 105542, smgkills:178282, tankrocks: 1541, versuswin: 516, versustotal：783, gamesplayed: 1193, maxrankpoint: 2301, kill_per_round: 237, rock_per_round: 1, hour_per_round: 0
[2025-05-15 23:37:12] [Info]: [ranyi] Total: 2285, gametime: 1110, rankpoint: 2285, shotgunkills: 105542, smgkills:178282, tankrocks: 1541, versuswin: 516, versustotal：784, gamesplayed: 1195, maxrankpoint: 2305, kill_per_round: 237, rock_per_round: 1, hour_per_round: 0
[2025-05-15 23:53:35] [Info]: [ranyi] Total: 2285, gametime: 1110, rankpoint: 2285, shotgunkills: 105542, smgkills:178282, tankrocks: 1541, versuswin: 516, versustotal：784, gamesplayed: 1196, maxrankpoint: 2306, kill_per_round: 237, rock_per_round: 1, hour_per_round: 0
[2025-05-16 00:35:19] [Info]: [ranyi] Total: 2287, gametime: 1110, rankpoint: 2287, shotgunkills: 105542, smgkills:178282, tankrocks: 1543, versuswin: 516, versustotal：784, gamesplayed: 1197, maxrankpoint: 2307, kill_per_round: 237, rock_per_round: 1, hour_per_round: 0
[2025-05-16 00:43:27] [Info]: [ranyi] Total: 2287, gametime: 1110, rankpoint: 2287, shotgunkills: 105542, smgkills:178282, tankrocks: 1543, versuswin: 516, versustotal：784, gamesplayed: 1197, maxrankpoint: 2307, kill_per_round: 237, rock_per_round: 1, hour_per_round: 0
[2025-05-16 00:54:33] [Info]: [ranyi] Total: 2287, gametime: 1110, rankpoint: 2287, shotgunkills: 105542, smgkills:178282, tankrocks: 1543, versuswin: 516, versustotal：784, gamesplayed: 1197, maxrankpoint: 2307, kill_per_round: 237, rock_per_round: 1, hour_per_round: 0
[2025-05-16 01:01:49] [Info]: [ranyi] Total: 2288, gametime: 1110, rankpoint: 2288, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 516, versustotal：784, gamesplayed: 1198, maxrankpoint: 2308, kill_per_round: 236, rock_per_round: 1, hour_per_round: 0
[2025-05-16 01:09:33] [Info]: [ranyi] Total: 2288, gametime: 1110, rankpoint: 2288, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 516, versustotal：784, gamesplayed: 1198, maxrankpoint: 2308, kill_per_round: 236, rock_per_round: 1, hour_per_round: 0
[2025-05-16 01:21:41] [Info]: [ranyi] Total: 2289, gametime: 1111, rankpoint: 2289, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 517, versustotal：785, gamesplayed: 1199, maxrankpoint: 2310, kill_per_round: 236, rock_per_round: 1, hour_per_round: 0
[2025-05-16 01:30:53] [Info]: [ranyi] Total: 2289, gametime: 1111, rankpoint: 2289, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 518, versustotal：786, gamesplayed: 1200, maxrankpoint: 2311, kill_per_round: 236, rock_per_round: 1, hour_per_round: 0
[2025-05-16 01:39:39] [Info]: [ranyi] Total: 2289, gametime: 1111, rankpoint: 2289, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：787, gamesplayed: 1201, maxrankpoint: 2312, kill_per_round: 236, rock_per_round: 1, hour_per_round: 0
[2025-05-16 01:52:22] [Info]: [ranyi] Total: 2289, gametime: 1111, rankpoint: 2289, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：787, gamesplayed: 1201, maxrankpoint: 2312, kill_per_round: 236, rock_per_round: 1, hour_per_round: 0
[2025-05-16 01:56:12] [Info]: [ranyi] Total: 2289, gametime: 1111, rankpoint: 2289, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：787, gamesplayed: 1201, maxrankpoint: 2312, kill_per_round: 236, rock_per_round: 1, hour_per_round: 0
[2025-05-16 01:58:50] [Info]: [ranyi] Total: 2289, gametime: 1111, rankpoint: 2289, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：787, gamesplayed: 1201, maxrankpoint: 2312, kill_per_round: 236, rock_per_round: 1, hour_per_round: 0
[2025-05-16 02:04:45] [Info]: [ranyi] Total: 2289, gametime: 1111, rankpoint: 2289, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：787, gamesplayed: 1201, maxrankpoint: 2312, kill_per_round: 236, rock_per_round: 1, hour_per_round: 0
[2025-05-16 02:09:54] [Info]: [ranyi] Total: 2289, gametime: 1111, rankpoint: 2289, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：787, gamesplayed: 1201, maxrankpoint: 2312, kill_per_round: 236, rock_per_round: 1, hour_per_round: 0
[2025-05-16 02:11:46] [Info]: [ranyi] Total: 2289, gametime: 1111, rankpoint: 2289, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：787, gamesplayed: 1201, maxrankpoint: 2312, kill_per_round: 236, rock_per_round: 1, hour_per_round: 0
[2025-05-16 02:13:50] [Info]: [ranyi] Total: 2289, gametime: 1111, rankpoint: 2289, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：787, gamesplayed: 1201, maxrankpoint: 2312, kill_per_round: 236, rock_per_round: 1, hour_per_round: 0
[2025-05-16 02:18:04] [Info]: [ranyi] Total: 2289, gametime: 1111, rankpoint: 2289, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：787, gamesplayed: 1201, maxrankpoint: 2312, kill_per_round: 236, rock_per_round: 1, hour_per_round: 0
[2025-05-16 02:34:50] [Info]: [ranyi] Total: 2289, gametime: 1111, rankpoint: 2289, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：787, gamesplayed: 1201, maxrankpoint: 2312, kill_per_round: 236, rock_per_round: 1, hour_per_round: 0
[2025-05-16 02:36:46] [Info]: [ranyi] Total: 2289, gametime: 1111, rankpoint: 2289, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：787, gamesplayed: 1201, maxrankpoint: 2312, kill_per_round: 236, rock_per_round: 1, hour_per_round: 0
[2025-05-16 02:38:17] [Info]: [ranyi] Total: 2289, gametime: 1111, rankpoint: 2289, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：787, gamesplayed: 1201, maxrankpoint: 2312, kill_per_round: 236, rock_per_round: 1, hour_per_round: 0
[2025-05-16 02:39:16] [Info]: [ranyi] Total: 2289, gametime: 1111, rankpoint: 2289, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：787, gamesplayed: 1201, maxrankpoint: 2312, kill_per_round: 236, rock_per_round: 1, hour_per_round: 0
[2025-05-16 02:46:34] [Info]: [ranyi] Total: 2289, gametime: 1111, rankpoint: 2289, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：787, gamesplayed: 1201, maxrankpoint: 2312, kill_per_round: 236, rock_per_round: 1, hour_per_round: 0
[2025-05-16 03:20:33] [Info]: [ranyi] Total: 2290, gametime: 1111, rankpoint: 2290, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1202, maxrankpoint: 2313, kill_per_round: 236, rock_per_round: 1, hour_per_round: 0
[2025-05-16 03:22:08] [Info]: [ranyi] Total: 2290, gametime: 1111, rankpoint: 2290, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1202, maxrankpoint: 2313, kill_per_round: 236, rock_per_round: 1, hour_per_round: 0
[2025-05-16 03:28:01] [Info]: [ranyi] Total: 2290, gametime: 1111, rankpoint: 2290, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1202, maxrankpoint: 2313, kill_per_round: 236, rock_per_round: 1, hour_per_round: 0
[2025-05-16 03:31:29] [Info]: [ranyi] Total: 2290, gametime: 1111, rankpoint: 2290, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1202, maxrankpoint: 2313, kill_per_round: 236, rock_per_round: 1, hour_per_round: 0
[2025-05-16 11:56:21] [Info]: [ranyi] Total: 2290, gametime: 1111, rankpoint: 2290, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1202, maxrankpoint: 2313, kill_per_round: 236, rock_per_round: 1, hour_per_round: 0
[2025-05-16 12:01:00] [Info]: [ranyi] Total: 2290, gametime: 1111, rankpoint: 2290, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1202, maxrankpoint: 2313, kill_per_round: 236, rock_per_round: 1, hour_per_round: 0
[2025-05-16 12:24:06] [Info]: [ranyi] Total: 2291, gametime: 1112, rankpoint: 2291, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1203, maxrankpoint: 2315, kill_per_round: 235, rock_per_round: 1, hour_per_round: 0
[2025-05-16 12:27:21] [Info]: [ranyi] Total: 2291, gametime: 1112, rankpoint: 2291, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1203, maxrankpoint: 2315, kill_per_round: 235, rock_per_round: 1, hour_per_round: 0
[2025-05-16 12:28:58] [Info]: [ranyi] Total: 2291, gametime: 1112, rankpoint: 2291, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1203, maxrankpoint: 2315, kill_per_round: 235, rock_per_round: 1, hour_per_round: 0
[2025-05-16 12:48:41] [Info]: [ranyi] Total: 2291, gametime: 1112, rankpoint: 2291, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1203, maxrankpoint: 2315, kill_per_round: 235, rock_per_round: 1, hour_per_round: 0
[2025-05-16 12:52:44] [Info]: [ranyi] Total: 2291, gametime: 1112, rankpoint: 2291, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1203, maxrankpoint: 2315, kill_per_round: 235, rock_per_round: 1, hour_per_round: 0
[2025-05-16 13:09:20] [Info]: [ranyi] Total: 2291, gametime: 1113, rankpoint: 2291, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1204, maxrankpoint: 2317, kill_per_round: 235, rock_per_round: 1, hour_per_round: 0
[2025-05-16 13:15:00] [Info]: [ranyi] Total: 2292, gametime: 1113, rankpoint: 2292, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1205, maxrankpoint: 2318, kill_per_round: 235, rock_per_round: 1, hour_per_round: 0
[2025-05-16 13:16:06] [Info]: [ranyi] Total: 2292, gametime: 1113, rankpoint: 2292, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1205, maxrankpoint: 2318, kill_per_round: 235, rock_per_round: 1, hour_per_round: 0
[2025-05-16 13:19:31] [Info]: [ranyi] Total: 2292, gametime: 1113, rankpoint: 2292, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1205, maxrankpoint: 2318, kill_per_round: 235, rock_per_round: 1, hour_per_round: 0
[2025-05-16 13:23:01] [Info]: [ranyi] Total: 2292, gametime: 1113, rankpoint: 2292, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1207, maxrankpoint: 2320, kill_per_round: 235, rock_per_round: 1, hour_per_round: 0
[2025-05-16 14:33:34] [Info]: [ranyi] Total: 2293, gametime: 1113, rankpoint: 2293, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1208, maxrankpoint: 2321, kill_per_round: 234, rock_per_round: 1, hour_per_round: 0
[2025-05-16 14:38:41] [Info]: [ranyi] Total: 2293, gametime: 1113, rankpoint: 2293, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1209, maxrankpoint: 2322, kill_per_round: 234, rock_per_round: 1, hour_per_round: 0
[2025-05-16 14:55:57] [Info]: [ranyi] Total: 2294, gametime: 1113, rankpoint: 2294, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1210, maxrankpoint: 2323, kill_per_round: 234, rock_per_round: 1, hour_per_round: 0
[2025-05-16 14:58:35] [Info]: [ranyi] Total: 2294, gametime: 1113, rankpoint: 2294, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1210, maxrankpoint: 2323, kill_per_round: 234, rock_per_round: 1, hour_per_round: 0
[2025-05-16 15:00:06] [Info]: [ranyi] Total: 2294, gametime: 1113, rankpoint: 2294, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1210, maxrankpoint: 2323, kill_per_round: 234, rock_per_round: 1, hour_per_round: 0
[2025-05-16 15:02:02] [Info]: [ranyi] Total: 2294, gametime: 1113, rankpoint: 2294, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1210, maxrankpoint: 2323, kill_per_round: 234, rock_per_round: 1, hour_per_round: 0
[2025-05-16 15:03:28] [Info]: [ranyi] Total: 2294, gametime: 1113, rankpoint: 2294, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1210, maxrankpoint: 2323, kill_per_round: 234, rock_per_round: 1, hour_per_round: 0
[2025-05-16 15:09:36] [Info]: [ranyi] Total: 2294, gametime: 1113, rankpoint: 2294, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1210, maxrankpoint: 2323, kill_per_round: 234, rock_per_round: 1, hour_per_round: 0
[2025-05-16 15:28:17] [Info]: [ranyi] Total: 2294, gametime: 1114, rankpoint: 2294, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1211, maxrankpoint: 2325, kill_per_round: 234, rock_per_round: 1, hour_per_round: 0
[2025-05-16 15:35:32] [Info]: [ranyi] Total: 2294, gametime: 1114, rankpoint: 2294, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1211, maxrankpoint: 2325, kill_per_round: 234, rock_per_round: 1, hour_per_round: 0
[2025-05-16 15:40:48] [Info]: [ranyi] Total: 2294, gametime: 1114, rankpoint: 2294, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1211, maxrankpoint: 2325, kill_per_round: 234, rock_per_round: 1, hour_per_round: 0
[2025-05-16 15:58:45] [Info]: [ranyi] Total: 2295, gametime: 1114, rankpoint: 2295, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1212, maxrankpoint: 2326, kill_per_round: 234, rock_per_round: 1, hour_per_round: 0
[2025-05-16 16:06:25] [Info]: [ranyi] Total: 2295, gametime: 1114, rankpoint: 2295, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1213, maxrankpoint: 2327, kill_per_round: 233, rock_per_round: 1, hour_per_round: 0
[2025-05-16 16:15:43] [Info]: [ranyi] Total: 2295, gametime: 1114, rankpoint: 2295, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1213, maxrankpoint: 2327, kill_per_round: 233, rock_per_round: 1, hour_per_round: 0
[2025-05-16 16:25:40] [Info]: [ranyi] Total: 2295, gametime: 1114, rankpoint: 2295, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1214, maxrankpoint: 2328, kill_per_round: 233, rock_per_round: 1, hour_per_round: 0
[2025-05-16 16:32:17] [Info]: [ranyi] Total: 2295, gametime: 1114, rankpoint: 2295, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1214, maxrankpoint: 2328, kill_per_round: 233, rock_per_round: 1, hour_per_round: 0
[2025-05-16 16:38:07] [Info]: [ranyi] Total: 2295, gametime: 1114, rankpoint: 2295, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1214, maxrankpoint: 2328, kill_per_round: 233, rock_per_round: 1, hour_per_round: 0
[2025-05-16 16:47:07] [Info]: [ranyi] Total: 2295, gametime: 1114, rankpoint: 2295, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1214, maxrankpoint: 2328, kill_per_round: 233, rock_per_round: 1, hour_per_round: 0
[2025-05-16 16:58:52] [Info]: [ranyi] Total: 2295, gametime: 1114, rankpoint: 2295, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1214, maxrankpoint: 2328, kill_per_round: 233, rock_per_round: 1, hour_per_round: 0
[2025-05-16 17:03:35] [Info]: [ranyi] Total: 2295, gametime: 1114, rankpoint: 2295, shotgunkills: 105542, smgkills:178282, tankrocks: 1544, versuswin: 519, versustotal：788, gamesplayed: 1214, maxrankpoint: 2328, kill_per_round: 233, rock_per_round: 1, hour_per_round: 0
[2025-05-16 17:17:44] [Info]: [1843027369] Total: 1978, gametime: 1412, rankpoint: 1978, shotgunkills: 100018, smgkills:54446, tankrocks: 956, versuswin: 436, versustotal：851, gamesplayed: 1259, maxrankpoint: 2671, kill_per_round: 122, rock_per_round: 0, hour_per_round: 1
[2025-05-16 17:19:23] [Info]: [鸡术又双叒叕不彳亍了] Total: 2259, gametime: 1105, rankpoint: 2259, shotgunkills: 96084, smgkills:76273, tankrocks: 1221, versuswin: 665, versustotal：1341, gamesplayed: 1772, maxrankpoint: 2877, kill_per_round: 97, rock_per_round: 0, hour_per_round: 0
[2025-05-16 17:20:22] [Info]: [芝士肥蛇] Total: 1527, gametime: 740, rankpoint: 1527, shotgunkills: 49165, smgkills:72083, tankrocks: 794, versuswin: 479, versustotal：1235, gamesplayed: 1449, maxrankpoint: 2189, kill_per_round: 83, rock_per_round: 0, hour_per_round: 0
[2025-05-16 17:20:40] [Info]: [丿灬悔] Total: 9533, gametime: 3951, rankpoint: 9533, shotgunkills: 510177, smgkills:311054, tankrocks: 5552, versuswin: 2800, versustotal：5125, gamesplayed: 5965, maxrankpoint: 9916, kill_per_round: 137, rock_per_round: 0, hour_per_round: 0
[2025-05-16 17:21:55] [Info]: [d2eng3state] Total: 113, gametime: 65, rankpoint: 113, shotgunkills: 1271, smgkills:1887, tankrocks: 77, versuswin: 39, versustotal：86, gamesplayed: 100, maxrankpoint: 165, kill_per_round: 31, rock_per_round: 0, hour_per_round: 0
[2025-05-16 17:24:54] [Info]: [1843027369] Total: 1978, gametime: 1412, rankpoint: 1978, shotgunkills: 100018, smgkills:54446, tankrocks: 956, versuswin: 436, versustotal：851, gamesplayed: 1259, maxrankpoint: 2671, kill_per_round: 122, rock_per_round: 0, hour_per_round: 1
[2025-05-16 17:24:54] [Info]: [鸡术又双叒叕不彳亍了] Total: 2259, gametime: 1105, rankpoint: 2259, shotgunkills: 96084, smgkills:76273, tankrocks: 1221, versuswin: 665, versustotal：1341, gamesplayed: 1772, maxrankpoint: 2877, kill_per_round: 97, rock_per_round: 0, hour_per_round: 0
[2025-05-16 17:25:11] [Info]: [1843027369] Total: 1978, gametime: 1412, rankpoint: 1978, shotgunkills: 100018, smgkills:54446, tankrocks: 956, versuswin: 436, versustotal：851, gamesplayed: 1259, maxrankpoint: 2671, kill_per_round: 122, rock_per_round: 0, hour_per_round: 1
[2025-05-16 17:25:17] [Info]: [鸡术又双叒叕不彳亍了] Total: 2259, gametime: 1105, rankpoint: 2259, shotgunkills: 96084, smgkills:76273, tankrocks: 1221, versuswin: 665, versustotal：1341, gamesplayed: 1772, maxrankpoint: 2877, kill_per_round: 97, rock_per_round: 0, hour_per_round: 0
[2025-05-16 17:32:06] [Info]: [1843027369] Total: 1978, gametime: 1412, rankpoint: 1978, shotgunkills: 100031, smgkills:54446, tankrocks: 956, versuswin: 436, versustotal：851, gamesplayed: 1259, maxrankpoint: 2671, kill_per_round: 122, rock_per_round: 0, hour_per_round: 1
[2025-05-16 17:32:11] [Info]: [鸡术又双叒叕不彳亍了] Total: 2259, gametime: 1105, rankpoint: 2259, shotgunkills: 96084, smgkills:76294, tankrocks: 1221, versuswin: 665, versustotal：1341, gamesplayed: 1772, maxrankpoint: 2877, kill_per_round: 97, rock_per_round: 0, hour_per_round: 0
